Metoda;k1_0;k2_0;k1_opt;k2_opt;Q;Wywolan_funkcji
Hooke-Jeeves;16,469414;9,138692;3,078789;11,101583;363,916399;179
Rosenbrock;16,469414;9,138692;3,079278;11,105489;363,916404;169
