Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
30;0,500000;0,594764;0,441661;-0,000939;0,775645;0,619892;105;NIE;0,774940;0,775645;1,239703;43;NIE
31;0,500000;0,241126;0,234661;0,774329;0,775677;1,239708;89;NIE;0,774329;0,775188;1,239686;43;NIE
32;0,500000;0,426653;0,591431;0,774309;-0,000366;0,619847;97;NIE;0,774309;0,774536;1,239681;39;NIE
33;0,500000;-0,435470;-0,879568;0,000077;-0,774100;0,619849;99;NIE;0,000077;-0,774832;0,619838;47;NIE
34;0,500000;-0,605994;0,427290;-0,000525;0,774946;0,619848;80;NIE;-0,000525;0,774946;0,619848;39;NIE
35;0,500000;0,647819;-0,604975;-0,000618;0,000493;0,000020;87;TAK;0,774528;0,000493;0,619846;39;NIE
36;0,500000;0,700915;-0,079616;0,775134;0,000462;0,619849;90;NIE;0,773181;-0,000026;0,619911;39;NIE
37;0,500000;0,465503;0,011416;0,774097;-0,000303;0,619852;84;NIE;0,776050;0,000186;0,619894;35;NIE
38;0,500000;-0,751533;0,242680;-0,774971;0,773930;1,239696;76;NIE;-0,774604;0,775883;1,239717;43;NIE
39;0,500000;0,494204;0,582666;0,775454;0,000634;0,619867;99;NIE;0,775454;0,776025;1,239745;35;NIE
40;0,500000;0,141633;0,542872;-0,000945;-0,000097;0,000029;107;TAK;0,000032;0,773341;0,619896;39;NIE
41;0,500000;-0,347520;0,690039;0,000137;0,774023;0,619853;107;NIE;0,000137;0,774023;0,619853;39;NIE
42;0,500000;0,218807;0,329385;0,775448;0,774698;1,239691;73;NIE;0,775448;0,774698;1,239691;35;NIE
43;0,500000;-0,580828;-0,251016;-0,000750;0,774374;0,619859;104;NIE;-0,000262;0,000937;0,000030;51;TAK
44;0,500000;0,199688;0,605650;0,773907;0,000181;0,619859;80;NIE;0,773907;0,775572;1,239718;35;NIE
45;0,500000;0,990861;0,882869;0,774065;0,775447;1,239704;91;NIE;0,774065;0,774958;1,239689;43;NIE
46;0,500000;0,599215;0,285618;-0,000395;0,773900;0,619863;90;NIE;0,774996;0,774876;1,239678;35;NIE
47;0,500000;0,300369;-0,703670;0,774978;-0,773983;1,239693;100;NIE;0,774978;-0,774959;1,239678;35;NIE
48;0,500000;0,516371;-0,420098;0,000746;-0,000176;0,000019;82;TAK;0,000746;0,000312;0,000021;43;TAK
49;0,500000;-0,497242;0,355890;0,000805;0,773859;0,619881;91;NIE;0,000073;0,773859;0,619860;39;NIE
50;0,500000;-0,884925;0,710068;-0,775550;0,774521;1,239697;76;NIE;-0,774573;0,774521;1,239676;43;NIE
51;0,500000;0,894508;0,063682;0,775368;-0,000771;0,619869;75;NIE;0,773414;-0,000038;0,619890;39;NIE
52;0,500000;0,820843;0,934950;0,773968;0,774794;1,239692;91;NIE;0,774700;0,772841;1,239784;39;NIE
53;0,500000;-0,558077;0,085869;0,000516;-0,000069;0,000009;90;TAK;0,000516;-0,000069;0,000009;31;TAK
54;0,500000;0,692632;0,930070;0,774663;0,773820;1,239700;91;NIE;0,774663;0,774797;1,239675;35;NIE
55;0,500000;-0,933219;-0,769380;-0,775016;-0,775239;1,239686;90;NIE;-0,775016;-0,774690;1,239677;43;NIE
56;0,500000;-0,272790;-0,927514;0,774085;0,000221;0,619851;113;NIE;-0,001306;-0,774682;0,619892;47;NIE
57;0,500000;0,951582;-0,052419;0,773848;0,000315;0,619864;88;NIE;0,775801;0,000315;0,619877;35;NIE
58;0,500000;0,726716;0,562971;0,775545;0,000471;0,619866;76;NIE;0,775056;0,773909;1,239698;35;NIE
59;0,500000;-0,532536;-0,030279;0,000667;0,000971;0,000044;67;TAK;0,000667;0,000117;0,000015;43;TAK
60;0,500000;-0,787129;0,214942;-0,775410;0,775489;1,239708;75;NIE;-0,774922;0,773536;1,239719;31;NIE
61;0,500000;0,739445;0,871495;0,774601;0,773839;1,239699;75;NIE;0,774601;0,773839;1,239699;31;NIE
62;0,500000;0,020453;0,117208;0,000921;0,000020;0,000027;76;TAK;-0,000055;0,000020;0,000000;35;TAK
63;0,500000;0,963155;-0,646528;0,775655;-0,000043;0,619865;98;NIE;0,774739;-0,000043;0,619837;47;NIE
64;0,500000;0,742652;-0,212713;0,773902;-0,775213;1,239703;60;NIE;0,774634;0,000178;0,619838;39;NIE
65;0,500000;0,554600;-0,566129;-0,000088;0,000278;0,000003;82;TAK;0,773350;-0,001676;0,619985;31;NIE
66;0,500000;-0,197635;0,232947;-0,773807;0,773963;1,239718;97;NIE;0,000607;0,773963;0,619867;39;NIE
67;0,500000;0,821444;0,459371;0,774569;0,773824;1,239700;100;NIE;0,774692;0,775777;1,239710;35;NIE
68;0,500000;-0,422125;-0,436300;-0,000250;-0,000753;0,000020;74;TAK;0,000117;-0,000753;0,000018;47;TAK
69;0,500000;0,499109;-0,039493;-0,000891;-0,000431;0,000031;77;TAK;0,001062;0,000057;0,000036;51;TAK
70;0,500000;-0,665189;0,516689;0,774264;-0,000889;0,619869;87;NIE;0,774752;0,001064;0,619873;43;NIE
71;0,500000;0,834028;-0,122443;0,775434;0,000604;0,619865;68;NIE;0,775434;0,000604;0,619865;27;NIE
72;0,500000;0,246669;-0,168703;0,774013;-0,000734;0,619870;90;NIE;0,774013;0,001219;0,619900;35;NIE
73;0,500000;0,992757;0,972483;0,774007;0,775217;1,239698;91;NIE;0,775960;0,774729;1,239723;43;NIE
74;0,500000;-0,297809;-0,969161;0,774457;-0,773849;1,239700;102;NIE;0,001019;-0,774581;0,619871;43;NIE
75;0,500000;-0,740492;0,784297;-0,775648;0,774531;1,239703;85;NIE;-0,775648;0,774531;1,239703;35;NIE
76;0,500000;-0,329888;-0,811670;0,000190;-0,774561;0,619839;106;NIE;0,000190;-0,774683;0,619838;39;NIE
77;0,500000;0,543400;-0,274174;0,000432;0,774654;0,619843;85;NIE;0,774846;0,001217;0,619885;43;NIE
78;0,500000;0,303412;-0,482840;0,774116;-0,000418;0,619854;74;NIE;0,775092;-0,000418;0,619847;39;NIE
79;0,500000;0,634769;-0,977927;0,000003;-0,774802;0,619837;106;NIE;0,774661;-0,772849;1,239783;43;NIE
80;0,500000;0,923210;0,012561;0,774772;0,000843;0,619860;85;NIE;-0,774056;0,000049;0,619851;47;NIE
81;0,500000;0,155266;-0,437100;0,000969;0,000400;0,000035;84;TAK;-0,000007;-0,001553;0,000077;47;TAK
82;0,500000;0,847907;0,379197;0,775642;0,775681;1,239730;96;NIE;0,774665;0,773728;1,239705;39;NIE
83;0,500000;-0,938104;0,667330;-0,774041;-0,000639;0,619864;95;NIE;-0,775018;0,774751;1,239677;39;NIE
84;0,500000;-0,604139;-0,751240;-0,000623;-0,774677;0,619850;90;NIE;-0,000623;-0,774738;0,619850;43;NIE
85;0,500000;-0,707041;0,544043;-0,775401;-0,000879;0,619876;98;NIE;-0,774424;0,774511;1,239678;39;NIE
86;0,500000;-0,744725;0,285873;-0,774022;0,774154;1,239699;85;NIE;-0,774022;0,775131;1,239695;35;NIE
87;0,500000;-0,804134;-0,333632;-0,774837;0,000352;0,619842;107;NIE;-0,774715;0,000352;0,619841;43;NIE
88;0,500000;-0,783652;0,389741;-0,773886;0,774507;1,239697;82;NIE;-0,774740;0,776460;1,239770;35;NIE
89;0,500000;-0,926580;-0,573638;-0,000799;0,000581;0,000031;97;TAK;-0,774237;0,000581;0,619855;35;NIE
90;0,500000;0,307410;-0,990861;0,774207;-0,774064;1,239696;81;NIE;0,774695;-0,774064;1,239688;35;NIE
91;0,500000;-0,168939;0,616093;-0,000970;0,000859;0,000053;106;TAK;0,000006;0,774296;0,619843;43;NIE
92;0,500000;0,338192;0,587494;0,775692;-0,000397;0,619872;82;NIE;0,773739;0,774719;1,239704;47;NIE
93;0,500000;-0,990177;-0,253176;-0,775334;0,774168;1,239696;79;NIE;-0,774845;0,000730;0,619855;47;NIE
94;0,500000;-0,193935;-0,341994;-0,774013;-0,000197;0,619854;96;NIE;-0,000087;-0,000197;0,000001;47;TAK
95;0,500000;0,188748;0,477553;0,774685;0,774428;1,239677;90;NIE;0,774685;0,776381;1,239761;43;NIE
96;0,500000;-0,900505;0,733995;-0,000114;0,775010;0,619840;108;NIE;-0,774772;0,775010;1,239677;35;NIE
97;0,500000;0,181911;-0,648819;0,775661;-0,000382;0,619870;79;NIE;0,774928;0,001571;0,619917;43;NIE
98;0,500000;-0,675183;0,728804;0,774035;0,775679;1,239718;79;NIE;0,774035;0,774702;1,239689;39;NIE
99;0,500000;-0,716255;-0,499713;-0,774848;0,000287;0,619840;69;NIE;-0,774848;-0,000201;0,619839;27;NIE
100;0,500000;0,840221;0,419536;0,773815;0,775004;1,239702;99;NIE;0,774669;0,773051;1,239761;39;NIE
101;0,100000;0,375793;-0,737104;0,774230;-0,774604;1,239682;70;NIE;0,774230;-0,774800;1,239682;31;NIE
102;0,100000;-0,621886;-0,374489;-0,775011;0,000511;0,619848;68;NIE;-0,775011;0,000511;0,619848;31;NIE
103;0,100000;-0,761633;0,306405;-0,774133;0,000155;0,619849;65;NIE;-0,774719;-0,001408;0,619900;43;NIE
104;0,100000;0,058550;0,001925;0,000737;0,000362;0,000021;75;TAK;-0,000825;-0,000028;0,000022;27;TAK
105;0,100000;-0,208971;0,679819;0,000404;0,775131;0,619848;72;NIE;-0,001159;0,774692;0,619880;43;NIE
106;0,100000;-0,718151;-0,646081;-0,774401;-0,774206;1,239686;74;NIE;-0,774694;-0,775769;1,239709;35;NIE
107;0,100000;-0,132778;0,731237;0,000035;0,774987;0,619840;74;NIE;0,000035;0,774596;0,619838;35;NIE
108;0,100000;0,624304;-0,404739;0,774304;-0,000052;0,619843;69;NIE;0,774694;-0,000052;0,619837;35;NIE
109;0,100000;-0,837801;0,329171;-0,775301;-0,000516;0,619856;87;NIE;-0,774715;0,001046;0,619872;39;NIE
110;0,100000;0,756863;-0,608189;0,774051;-0,775376;1,239702;86;NIE;0,774734;-0,775376;1,239688;35;NIE
111;0,100000;-0,912577;0,329567;-0,775077;-0,000120;0,619842;88;NIE;-0,774784;0,001442;0,619904;39;NIE
112;0,100000;-0,120332;-0,409483;-0,000020;-0,000108;0,000000;84;TAK;0,000762;-0,000108;0,000019;35;TAK
113;0,100000;-0,003414;0,278323;-0,000289;0,000198;0,000004;64;TAK;-0,000093;-0,001364;0,000060;43;TAK
114;0,100000;0,852935;0,039612;0,774810;0,000549;0,619847;84;NIE;0,774810;-0,001013;0,619870;27;NIE
115;0,100000;-0,118187;0,247181;0,000563;0,000306;0,000013;81;TAK;-0,000023;0,000306;0,000003;43;TAK
116;0,100000;-0,164891;0,111962;0,000734;-0,000538;0,000026;72;TAK;0,000734;-0,000148;0,000018;35;TAK
117;0,100000;-0,806996;0,321313;-0,774184;-0,000562;0,619856;88;NIE;-0,774770;-0,000562;0,619847;43;NIE
118;0,100000;-0,419491;0,043417;-0,000741;-0,000333;0,000021;77;TAK;-0,000741;0,000449;0,000024;35;TAK
