Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
169;0,100000;0,267354;0,500403;0,000167;0,775403;0,619853;78;NIE;0,000167;0,774622;0,619838;47;NIE
170;0,100000;-0,535453;-0,944055;-0,774515;-0,775305;1,239687;88;NIE;-0,774515;-0,774915;1,239677;39;NIE
171;0,100000;0,780298;-0,189371;0,774048;-0,000309;0,619854;74;NIE;0,774731;-0,000309;0,619840;35;NIE
172;0,100000;0,342889;-0,591699;0,000701;-0,774511;0,619854;86;NIE;0,000701;-0,774511;0,619854;39;NIE
173;0,100000;-0,714059;0,683417;-0,774996;0,774042;1,239691;74;NIE;-0,774996;0,774823;1,239677;31;NIE
174;0,100000;0,870996;-0,078821;0,774121;-0,000696;0,619864;58;NIE;0,774121;0,000085;0,619848;35;NIE
175;0,100000;0,874225;-0,297138;0,774225;-0,000263;0,619847;48;NIE;0,775788;0,000005;0,619873;47;NIE
176;0,100000;0,949368;0,140319;0,774368;-0,000306;0,619844;72;NIE;0,775931;0,000085;0,619884;39;NIE
177;0,100000;-0,545033;0,701939;-0,774721;0,775376;1,239688;77;NIE;-0,774721;0,774693;1,239674;39;NIE
178;0,100000;-0,220185;0,003042;0,000127;-0,000083;0,000001;74;TAK;0,000127;-0,000010;0,000001;39;TAK
179;0,100000;-0,203202;-0,822222;-0,000077;-0,775347;0,619850;65;NIE;-0,000077;-0,774761;0,619837;43;NIE
180;0,100000;0,227595;-0,275054;-0,000530;-0,000054;0,000009;63;TAK;0,000251;0,001509;0,000074;39;TAK
181;0,100000;0,165785;-0,555883;0,000160;-0,774633;0,619838;79;NIE;-0,001402;-0,774633;0,619900;35;NIE
182;0,100000;-0,382843;-0,438177;-0,000031;-0,000677;0,000015;91;TAK;0,001532;0,000104;0,000075;39;TAK
183;0,100000;0,453539;-0,015670;0,775414;-0,000045;0,619852;70;NIE;0,773851;-0,000045;0,619861;35;NIE
184;0,100000;-0,405574;-0,473232;0,000676;-0,774794;0,619852;68;NIE;-0,000887;-0,774013;0,619878;35;NIE
